Week,Bitcoin: (Worldwide)
3/01/2016,3
10/01/2016,3
17/01/2016,3
24/01/2016,3
31/01/2016,2
7/02/2016,3
14/02/2016,3
21/02/2016,3
28/02/2016,3
6/03/2016,3
13/03/2016,3
20/03/2016,3
27/03/2016,3
3/04/2016,2
10/04/2016,3
17/04/2016,3
24/04/2016,3
1/05/2016,4
8/05/2016,3
15/05/2016,3
22/05/2016,3
29/05/2016,4
5/06/2016,3
12/06/2016,5
19/06/2016,5
26/06/2016,4
3/07/2016,4
10/07/2016,3
17/07/2016,3
24/07/2016,3
31/07/2016,4
7/08/2016,3
14/08/2016,3
21/08/2016,3
28/08/2016,3
4/09/2016,3
11/09/2016,3
18/09/2016,3
25/09/2016,3
2/10/2016,3
9/10/2016,3
16/10/2016,3
23/10/2016,3
30/10/2016,4
6/11/2016,4
13/11/2016,4
20/11/2016,4
27/11/2016,4
4/12/2016,4
11/12/2016,3
18/12/2016,4
25/12/2016,5
1/01/2017,7
8/01/2017,6
15/01/2017,5
22/01/2017,4
29/01/2017,5
5/02/2017,5
12/02/2017,4
19/02/2017,5
26/02/2017,6
5/03/2017,7
12/03/2017,6
19/03/2017,6
26/03/2017,5
2/04/2017,5
9/04/2017,5
16/04/2017,5
23/04/2017,5
30/04/2017,7
7/05/2017,10
14/05/2017,12
21/05/2017,19
28/05/2017,13
4/06/2017,13
11/06/2017,14
18/06/2017,12
25/06/2017,12
2/07/2017,10
9/07/2017,11
16/07/2017,13
23/07/2017,12
30/07/2017,14
6/08/2017,14
13/08/2017,20
20/08/2017,16
27/08/2017,18
3/09/2017,18
10/09/2017,20
17/09/2017,15
24/09/2017,13
1/10/2017,12
8/10/2017,18
15/10/2017,19
22/10/2017,20
29/10/2017,26
5/11/2017,26
12/11/2017,28
19/11/2017,26
26/11/2017,60
3/12/2017,83
10/12/2017,79
17/12/2017,88
24/12/2017,59
31/12/2017,46
7/01/2018,44
14/01/2018,55
21/01/2018,37
28/01/2018,39
4/02/2018,44
11/02/2018,27
18/02/2018,24
25/02/2018,19
4/03/2018,19
11/03/2018,18
18/03/2018,17
25/03/2018,17
1/04/2018,16
8/04/2018,16
15/04/2018,14
22/04/2018,14
29/04/2018,12
6/05/2018,12
13/05/2018,11
20/05/2018,11
27/05/2018,10
3/06/2018,10
10/06/2018,12
17/06/2018,10
24/06/2018,11
1/07/2018,10
8/07/2018,9
15/07/2018,11
22/07/2018,12
29/07/2018,11
5/08/2018,11
12/08/2018,11
19/08/2018,10
26/08/2018,10
2/09/2018,11
9/09/2018,10
16/09/2018,9
23/09/2018,9
30/09/2018,8
7/10/2018,9
14/10/2018,9
21/10/2018,8
28/10/2018,8
4/11/2018,8
11/11/2018,10
18/11/2018,14
25/11/2018,14
2/12/2018,12
9/12/2018,11
16/12/2018,12
23/12/2018,10
30/12/2018,9
6/01/2019,9
13/01/2019,8
20/01/2019,7
27/01/2019,8
3/02/2019,8
10/02/2019,7
17/02/2019,9
24/02/2019,8
3/03/2019,7
10/03/2019,7
17/03/2019,7
24/03/2019,7
31/03/2019,12
7/04/2019,10
14/04/2019,9
21/04/2019,10
28/04/2019,9
5/05/2019,12
12/05/2019,20
19/05/2019,14
26/05/2019,15
2/06/2019,12
9/06/2019,11
16/06/2019,17
23/06/2019,26
30/06/2019,18
7/07/2019,17
14/07/2019,16
21/07/2019,13
28/07/2019,13
4/08/2019,15
11/08/2019,13
18/08/2019,12
25/08/2019,38
1/09/2019,100
8/09/2019,57
15/09/2019,51
22/09/2019,34
29/09/2019,10
6/10/2019,10
13/10/2019,9
20/10/2019,11
27/10/2019,11
3/11/2019,9
10/11/2019,9
17/11/2019,10
24/11/2019,10
1/12/2019,9
8/12/2019,8
15/12/2019,10
22/12/2019,9
29/12/2019,9
5/01/2020,11
